 MODEL	TP	FP  	TPR  	FDR
model3_2	27	19	0.58696	0.41304
model3_2	24	22	0.52174	0.47826
model3_2	33	11	0.75000	0.25000
model3_2	25	18	0.58140	0.41860
model3_2	27	13	0.67500	0.32500
model3_2	27	14	0.65854	0.34146
model3_2	28	20	0.58333	0.41667
model3_2	17	19	0.47222	0.52778
model3_2	21	24	0.46667	0.53333
model3_2	30	18	0.62500	0.37500
